data;total_multas;total_acidentes
2008-11-21;;476
2008-11-22;;466
2008-11-23;;377
2008-11-24;;333
2008-11-25;;322
2008-11-26;;327
2008-11-27;;407
2008-11-28;;450
2008-11-29;;498
2008-11-30;;376
2008-12-01;;374
2008-12-02;;380
2008-12-03;;363
2008-12-04;;366
2008-12-05;;444
2008-12-06;;447
2008-12-07;;391
2008-12-08;;376
2008-12-09;;408
2008-12-10;;381
2008-12-11;;440
2008-12-12;;565
2008-12-13;;506
2008-12-14;;447
2008-12-15;;541
2008-12-16;;475
2008-12-17;;435
2008-12-18;;446
2008-12-19;;549
2008-12-20;;616
2008-12-21;;493
2008-12-22;;479
2008-12-23;;565
2008-12-24;;632
2008-12-25;;406
2008-12-26;;466
2008-12-27;;423
2008-12-28;;430
2008-12-29;;324
2008-12-30;;398
2008-12-31;;472
2009-01-01;;316
2009-01-02;;448
2009-01-03;;515
2009-01-04;;519
2009-01-05;;440
2009-01-06;;310
2009-01-07;;302
2009-01-08;;313
2009-01-09;;433
2009-01-10;;433
2009-01-11;;407
2009-01-12;;396
2009-01-13;;345
2009-01-14;;344
2009-01-15;;371
2009-01-16;;501
2009-01-17;;433
2009-01-18;;427
2009-01-19;;393
2009-01-20;;387
2009-01-21;;403
2009-01-22;;364
2009-01-23;;411
2009-01-24;;373
2009-01-25;;401
2009-01-26;;446
2009-01-27;;354
2009-01-28;;386
2009-01-29;;342
2009-01-30;;429
2009-01-31;;381
2009-02-01;;401
2009-02-02;;382
2009-02-03;;388
2009-02-04;;322
2009-02-05;;372
2009-02-06;;433
2009-02-07;;434
2009-02-08;;448
2009-02-09;;374
2009-02-10;;393
2009-02-11;;377
2009-02-12;;388
2009-02-13;;482
2009-02-14;;459
2009-02-15;;372
2009-02-16;;432
2009-02-17;;343
2009-02-18;;315
2009-02-19;;425
2009-02-20;;648
2009-02-21;;765
2009-02-22;;413
2009-02-23;;319
2009-02-24;;401
2009-02-25;;460
2009-02-26;;361
2009-02-27;;368
2009-02-28;;327
2009-03-01;;320
2009-03-02;;346
2009-03-03;;308
2009-03-04;;356
2009-03-05;;339
2009-03-06;;458
2009-03-07;;434
2009-03-08;;418
2009-03-09;;391
2009-03-10;;368
2009-03-11;;337
2009-03-12;;303
2009-03-13;;462
2009-03-14;;373
2009-03-15;;438
2009-03-16;;396
2009-03-17;;389
2009-03-18;;347
2009-03-19;;328
2009-03-20;;372
2009-03-21;;408
2009-03-22;;407
2009-03-23;;380
2009-03-24;;375
2009-03-25;;357
2009-03-26;;375
2009-03-27;;452
2009-03-28;;488
2009-03-29;;390
2009-03-30;;348
2009-03-31;;393
2009-04-01;;334
2009-04-02;;400
2009-04-03;;449
2009-04-04;;432
2009-04-05;;394
2009-04-06;;428
2009-04-07;;370
2009-04-08;;484
2009-04-09;;605
2009-04-10;;384
2009-04-11;;316
2009-04-12;;638
2009-04-13;;464
2009-04-14;;351
2009-04-15;;355
2009-04-16;;333
2009-04-17;;454
2009-04-18;;411
2009-04-19;;326
2009-04-20;;353
2009-04-21;;399
2009-04-22;;479
2009-04-23;;337
2009-04-24;;406
2009-04-25;;308
2009-04-26;;286
2009-04-27;;343
2009-04-28;;316
2009-04-29;;360
2009-04-30;;499
2009-05-01;;611
2009-05-02;;349
2009-05-03;;407
2009-05-04;;364
2009-05-05;;349
2009-05-06;;348
2009-05-07;;374
2009-05-08;;536
2009-05-09;;466
2009-05-10;;448
2009-05-11;;407
2009-05-12;;350
2009-05-13;;338
2009-05-14;;395
2009-05-15;;514
2009-05-16;;403
2009-05-17;;366
2009-05-18;;355
2009-05-19;;347
2009-05-20;;368
2009-05-21;;391
2009-05-22;;506
2009-05-23;;410
2009-05-24;;406
2009-05-25;;487
2009-05-26;;399
2009-05-27;;379
2009-05-28;;402
2009-05-29;;470
2009-05-30;;477
2009-05-31;;460
2009-06-01;;418
2009-06-02;;358
2009-06-03;;396
2009-06-04;;406
2009-06-05;;509
2009-06-06;;483
2009-06-07;;415
2009-06-08;;404
2009-06-09;;398
2009-06-10;;554
2009-06-11;;459
2009-06-12;;466
2009-06-13;;412
2009-06-14;;458
2009-06-15;;411
2009-06-16;;449
2009-06-17;;374
2009-06-18;;345
2009-06-19;;483
2009-06-20;;452
2009-06-21;;368
2009-06-22;;400
2009-06-23;;374
2009-06-24;;379
2009-06-25;;471
2009-06-26;;539
2009-06-27;;476
2009-06-28;;388
2009-06-29;;383
2009-06-30;;377
2009-07-01;;356
2009-07-02;;366
2009-07-03;;525
2009-07-04;;492
2009-07-05;;463
2009-07-06;;420
2009-07-07;;409
2009-07-08;;370
2009-07-09;;471
2009-07-10;;592
2009-07-11;;533
2009-07-12;;460
2009-07-13;;377
2009-07-14;;360
2009-07-15;;418
2009-07-16;;425
2009-07-17;;508
2009-07-18;;488
2009-07-19;;453
2009-07-20;;402
2009-07-21;;360
2009-07-22;;397
2009-07-23;;435
2009-07-24;;565
2009-07-25;;513
2009-07-26;;441
2009-07-27;;413
2009-07-28;;400
2009-07-29;;388
2009-07-30;;389
2009-07-31;;459
2009-08-01;;461
2009-08-02;;417
2009-08-03;;344
2009-08-04;;347
2009-08-05;;368
2009-08-06;;406
2009-08-07;;478
2009-08-08;;464
2009-08-09;;490
2009-08-10;;358
2009-08-11;;402
2009-08-12;;345
2009-08-13;;415
2009-08-14;;452
2009-08-15;;471
2009-08-16;;418
2009-08-17;;441
2009-08-18;;414
2009-08-19;;412
2009-08-20;;453
2009-08-21;;464
2009-08-22;;437
2009-08-23;;450
2009-08-24;;445
2009-08-25;;411
2009-08-26;;411
2009-08-27;;426
2009-08-28;;443
2009-08-29;;400
2009-08-30;;390
2009-08-31;;371
2009-09-01;;352
2009-09-02;;413
2009-09-03;;462
2009-09-04;;677
2009-09-05;;679
2009-09-06;;530
2009-09-07;;626
2009-09-08;;535
2009-09-09;;429
2009-09-10;;356
2009-09-11;;478
2009-09-12;;432
2009-09-13;;355
2009-09-14;;412
2009-09-15;;373
2009-09-16;;366
2009-09-17;;326
2009-09-18;;548
2009-09-19;;428
2009-09-20;;456
2009-09-21;;495
2009-09-22;;397
2009-09-23;;406
2009-09-24;;376
2009-09-25;;478
2009-09-26;;404
2009-09-27;;421
2009-09-28;;420
2009-09-29;;373
2009-09-30;;400
2009-10-01;;371
2009-10-02;;490
2009-10-03;;461
2009-10-04;;424
2009-10-05;;350
2009-10-06;;391
2009-10-07;;416
2009-10-08;;552
2009-10-09;;624
2009-10-10;;633
2009-10-11;;451
2009-10-12;;619
2009-10-13;;404
2009-10-14;;381
2009-10-15;;447
2009-10-16;;564
2009-10-17;;540
